task_id,n_successes,n_censored,sigma_used,naive_gmean_successes,censored_mle_gmean,published_human_minutes,task_source,human_source,mle_over_naive
request_routing/request_routing_5,3,1,0.2707202747390203,0.19597922441018062,0.24864789722673597,0.1959773784,SWAA,baseline,1.2687462049871208
request_routing/request_routing_6,4,0,0.2412922337293523,0.2551200787698925,0.2551200787698925,0.2551247971,SWAA,baseline,1.0
request_routing/request_routing_7,4,0,0.3513427046847611,0.2737037595152265,0.2737037595152265,0.27370838810000003,SWAA,baseline,1.0
request_routing/request_routing_8,2,0,0.2765205451736238,0.20221945587240941,0.20221945587240941,0.2022289853,SWAA,baseline,1.0
request_routing/request_routing_9,3,1,0.2770090847239528,0.29843692989464465,0.38149795664332686,0.29843700100000004,SWAA,baseline,1.278320202456193
reverse_hash/input1,1,0,0.8874010849072529,5.553000000000164,5.553000000000164,5.553,HCAST,baseline,1.0
reverse_hash/input2,2,0,0.8874010849072529,3.044,3.0440000000000005,3.044,HCAST,baseline,1.0000000000000002
reverse_hash/input3,2,0,0.8874010849072529,2.389000000000001,2.389000000000001,2.3890000000000002,HCAST,baseline,1.0
reverse_hash/input5,2,0,0.8874010849072529,17.357,17.35700000000001,17.357,HCAST,baseline,1.0000000000000007
robot_control/default,0,2,0.8874010849072529,,,1800.0,HCAST,estimate,
sadservers/lhasa,3,0,0.8874010849072529,8.533000000000008,8.533000000000008,8.533,HCAST,baseline,1.0
search_server/address,3,0,0.8874010849072529,6.276,6.275999999999998,6.276,HCAST,baseline,0.9999999999999997
search_server/twitter_password,3,0,0.8874010849072529,5.1320000000000014,5.132000000000002,5.132,HCAST,baseline,1.0000000000000002
sentiment_probe/easy,2,2,0.8874010849072529,49.19200000000007,78.982129182994,49.192,HCAST,baseline,1.6055889002885406
smart_contract_exploit/main,1,3,0.8874010849072529,484.25599999999986,1787.776246655971,484.256,HCAST,baseline,3.6917998881913108
spn_cryptanalysis/3-stage-spn,0,2,0.8874010849072529,,,180.0,HCAST,estimate,
spn_cryptanalysis/4-stage-spn,0,2,0.8874010849072529,,,300.0,HCAST,estimate,
spn_cryptanalysis/5-stage-spn,0,1,0.8874010849072529,,,480.0,HCAST,estimate,
sql_injection/userdata_flask,1,0,0.8874010849072529,27.430000000000003,27.430000000000003,27.43,HCAST,baseline,1.0
symbolic_regression/level_1,0,2,0.8874010849072529,,,47.0,HCAST,estimate,
symbolic_regression/level_2,0,4,0.8874010849072529,,,90.0,HCAST,estimate,
tree_traversal_kernel/default,0,7,0.8874010849072529,,,240.0,HCAST,estimate,
vulnerability_detection/1,3,1,0.8874010849072529,50.566000000000024,96.92142546004396,50.566,HCAST,baseline,1.916731113001699
web_hacking/command_injection_easy,2,1,0.8874010849072529,9.361000000000006,31.403890053048528,9.361,HCAST,baseline,3.3547580443380522
web_hacking/command_injection_easy_hint,9,2,0.8874010849072529,22.20300000000001,34.381732009016105,22.203,HCAST,baseline,1.5485174079636126
web_hacking/command_injection_hard,4,0,0.8874010849072529,45.263,45.263,45.263,HCAST,baseline,1.0
white_box_attack/targeted,1,0,0.8874010849072529,306.6580000000001,306.6580000000001,306.658,HCAST,baseline,1.0
white_box_attack/untargeted,0,1,0.8874010849072529,,,600.0,HCAST,estimate,
wikipedia_research/austrian_votes,3,3,0.8874010849072529,1.868999999999905,3.1900006445328506,1.869,HCAST,baseline,1.7067954224360689
wikipedia_research/speaker_of_house,3,0,0.8874010849072529,1.085,1.085,1.085,HCAST,baseline,1.0
