noise_model,lambda,agent,quantile,mean_log2_horizon
metr_global,0,Claude Opus 4.5,p50,7.947092208
metr_global,0,Claude Sonnet 4.5,p50,6.864537955
metr_global,0,DeepSeek-R1,p50,4.801552703
metr_global,0,DeepSeek-R1-0528,p50,5.034052021
metr_global,0,DeepSeek-V3,p50,4.309089727
metr_global,0,DeepSeek-V3-0324,p50,4.620254908
metr_global,0,GPT-2,p50,-4.216841914
metr_global,0,GPT-4 0125,p50,2.666042686
metr_global,0,GPT-4 0314,p50,2.590749182
metr_global,0,GPT-4 1106,p50,3.231821846
metr_global,0,GPT-4 Turbo,p50,2.959298229
metr_global,0,GPT-4o,p50,3.346936641
metr_global,0,GPT-5,p50,7.031401022
metr_global,0,GPT-5.1-Codex-Max,p50,7.342107557
metr_global,0,Gemini 2.5 Pro Preview,p50,5.328487585
metr_global,0,Grok 4,p50,6.71214879
metr_global,0,Kimi K2 Thinking,p50,5.848540916
metr_global,0,Qwen2-72B,p50,1.342915613
metr_global,0,Qwen2.5-72B,p50,2.539480912
metr_global,0,davinci-002 (GPT-3),p50,-2.795291835
metr_global,0,gpt-3.5-turbo-instruct,p50,-0.7387767014
metr_global,0,gpt-oss-120b,p50,5.495381251
metr_global,0,human,p50,6.850556676
metr_global,0,o1,p50,5.376835795
metr_global,0,o1-preview,p50,4.539452159
metr_global,0,o3,p50,6.514813433
metr_global,0,o4-mini,p50,6.26206304
metr_global,0,Claude 3 Opus,p80,0.6582947167
metr_global,0,Claude 3.5 Sonnet (New),p80,2.562579794
metr_global,0,Claude 3.5 Sonnet (Old),p80,2.067663
metr_global,0,Claude 3.7 Sonnet,p80,4.348996776
metr_global,0,Claude 4 Opus,p80,4.74882133
metr_global,0,Claude 4 Sonnet,p80,4.456061865
metr_global,0,Claude 4.1 Opus,p80,4.770293281
metr_global,0,Claude Opus 4.5,p80,5.171498543
metr_global,0,Claude Sonnet 4.5,p80,4.705719133
metr_global,0,DeepSeek-R1,p80,2.492996845
metr_global,0,DeepSeek-R1-0528,p80,2.2238986
metr_global,0,DeepSeek-V3,p80,2.439514831
metr_global,0,DeepSeek-V3-0324,p80,2.897768863
metr_global,0,GPT-2,p80,-6.287720045
metr_global,0,GPT-4 0125,p80,0.9365799984
metr_global,0,GPT-4 0314,p80,0.4515686045
metr_global,0,GPT-4 1106,p80,1.007331923
metr_global,0,GPT-4 Turbo,p80,1.317687513
metr_global,0,GPT-4o,p80,1.247541039
metr_global,0,GPT-5,p80,5.043709621
metr_global,0,GPT-5.1-Codex-Max,p80,5.32333531
metr_global,0,Gemini 2.5 Pro Preview,p80,3.651416503
metr_global,0,Grok 4,p80,4.21655651
metr_global,0,Kimi K2 Thinking,p80,3.907365932
metr_global,0,Qwen2-72B,p80,-0.7486588319
metr_global,0,Qwen2.5-72B,p80,0.406411886
metr_global,0,davinci-002 (GPT-3),p80,-4.152318397
metr_global,0,gpt-3.5-turbo-instruct,p80,-1.969283575
metr_global,0,gpt-oss-120b,p80,3.062159679
metr_global,0,human,p80,3.28689063
metr_global,0,o1,p80,2.93464805
metr_global,0,o1-preview,p80,2.682237338
metr_global,0,o3,p80,4.770864447
metr_global,0,o4-mini,p80,4.332548715
metr_global,0.5,Claude 3 Opus,p50,2.758961308
metr_global,0.5,Claude 3.5 Sonnet (New),p50,4.887452534
metr_global,0.5,Claude 3.5 Sonnet (Old),p50,4.24602516
metr_global,0.5,Claude 3.7 Sonnet,p50,5.777754569
metr_global,0.5,Claude 4 Opus,p50,6.378083514
metr_global,0.5,Claude 4 Sonnet,p50,6.19379026
metr_global,0.5,Claude 4.1 Opus,p50,6.787582291
metr_global,0.5,Claude Opus 4.5,p50,8.069669874
metr_global,0.5,Claude Sonnet 4.5,p50,6.892210299
metr_global,0.5,DeepSeek-R1,p50,4.757198046
metr_global,0.5,DeepSeek-R1-0528,p50,5.001958219
metr_global,0.5,DeepSeek-V3,p50,4.245015808
metr_global,0.5,DeepSeek-V3-0324,p50,4.566108906
metr_global,0.5,GPT-2,p50,-4.285044911
metr_global,0.5,GPT-4 0125,p50,2.568486071
metr_global,0.5,GPT-4 0314,p50,2.510202051
metr_global,0.5,GPT-4 1106,p50,3.156057097
metr_global,0.5,GPT-4 Turbo,p50,2.858063197
metr_global,0.5,GPT-4o,p50,3.267601682
metr_global,0.5,GPT-5,p50,7.060692697
metr_global,0.5,GPT-5.1-Codex-Max,p50,7.387313386
metr_global,0.5,Gemini 2.5 Pro Preview,p50,5.297717734
metr_global,0.5,Grok 4,p50,6.740051012
metr_global,0.5,Kimi K2 Thinking,p50,5.827359339
metr_global,0.5,Qwen2-72B,p50,1.279529648
metr_global,0.5,Qwen2.5-72B,p50,2.457708971
metr_global,0.5,davinci-002 (GPT-3),p50,-2.769003252
metr_global,0.5,gpt-3.5-turbo-instruct,p50,-0.744808758
metr_global,0.5,gpt-oss-120b,p50,5.471504592
metr_global,0.5,human,p50,6.901909448
metr_global,0.5,o1,p50,5.349652352
metr_global,0.5,o1-preview,p50,4.483471288
metr_global,0.5,o3,p50,6.513885362
metr_global,0.5,o4-mini,p50,6.262833061
metr_global,0.5,Claude 3 Opus,p80,0.4991757507
metr_global,0.5,Claude 3.5 Sonnet (New),p80,2.387842612
metr_global,0.5,Claude 3.5 Sonnet (Old),p80,1.88714751
metr_global,0.5,Claude 3.7 Sonnet,p80,4.211371533
metr_global,0.5,Claude 4 Opus,p80,4.597988362
metr_global,0.5,Claude 4 Sonnet,p80,4.301477313
metr_global,0.5,Claude 4.1 Opus,p80,4.615192741
metr_global,0.5,Claude Opus 4.5,p80,5.056040932
metr_global,0.5,Claude Sonnet 4.5,p80,4.545772336
metr_global,0.5,DeepSeek-R1,p80,2.324571465
metr_global,0.5,DeepSeek-R1-0528,p80,2.057842536
metr_global,0.5,DeepSeek-V3,p80,2.246807306
metr_global,0.5,DeepSeek-V3-0324,p80,2.711037822
metr_global,0.5,GPT-2,p80,-6.452838757
metr_global,0.5,GPT-4 0125,p80,0.7514407967
metr_global,0.5,GPT-4 0314,p80,0.2947990685
metr_global,0.5,GPT-4 1106,p80,0.8394462649
metr_global,0.5,GPT-4 Turbo,p80,1.114155587
metr_global,0.5,GPT-4o,p80,1.068141783
metr_global,0.5,GPT-5,p80,4.886086196
metr_global,0.5,GPT-5.1-Codex-Max,p80,5.167846532
metr_global,0.5,Gemini 2.5 Pro Preview,p80,3.491065815
metr_global,0.5,Grok 4,p80,4.055233182
metr_global,0.5,Kimi K2 Thinking,p80,3.740739511
metr_global,0.5,Qwen2-72B,p80,-0.8492403238
metr_global,0.5,Qwen2.5-72B,p80,0.2483594015
metr_global,0.5,davinci-002 (GPT-3),p80,-4.220254143
metr_global,0.5,gpt-3.5-turbo-instruct,p80,-1.98160688
metr_global,0.5,gpt-oss-120b,p80,2.891839701
metr_global,0.5,human,p80,3.135030725
metr_global,0.5,o1,p80,2.770369177
metr_global,0.5,o1-preview,p80,2.497945164
metr_global,0.5,o3,p80,4.613539478
metr_global,0.5,o4-mini,p80,4.178253162
metr_global,1,Claude 3 Opus,p50,2.678639647
metr_global,1,Claude 3.5 Sonnet (New),p50,4.832363931
metr_global,1,Claude 3.5 Sonnet (Old),p50,4.178402965
metr_global,1,Claude 3.7 Sonnet,p50,5.740071739
metr_global,1,Claude 4 Opus,p50,6.353741136
metr_global,1,Claude 4 Sonnet,p50,6.166445746
metr_global,1,Claude 4.1 Opus,p50,6.792155644
metr_global,1,Claude Opus 4.5,p50,8.182648038
metr_global,1,Claude Sonnet 4.5,p50,6.909659989
metr_global,1,DeepSeek-R1,p50,4.697441038
metr_global,1,DeepSeek-R1-0528,p50,4.957810249
metr_global,1,DeepSeek-V3,p50,4.170700716
metr_global,1,DeepSeek-V3-0324,p50,4.497423942
metr_global,1,GPT-2,p50,-4.34200464
metr_global,1,GPT-4 0125,p50,2.481269537
metr_global,1,GPT-4 0314,p50,2.434272363
metr_global,1,GPT-4 1106,p50,3.081908316
metr_global,1,GPT-4 Turbo,p50,2.765684444
metr_global,1,GPT-4o,p50,3.189524269
metr_global,1,GPT-5,p50,7.079951447
metr_global,1,GPT-5.1-Codex-Max,p50,7.421026426
metr_global,1,Gemini 2.5 Pro Preview,p50,5.24577644
metr_global,1,Grok 4,p50,6.755334652
metr_global,1,Kimi K2 Thinking,p50,5.788920163
metr_global,1,Qwen2-72B,p50,1.226181408
metr_global,1,Qwen2.5-72B,p50,2.385076519
metr_global,1,davinci-002 (GPT-3),p50,-2.748274915
metr_global,1,gpt-3.5-turbo-instruct,p50,-0.7360930104
metr_global,1,gpt-oss-120b,p50,5.433235904
metr_global,1,human,p50,6.939850483
metr_global,1,o1,p50,5.307791515
metr_global,1,o1-preview,p50,4.414111743
metr_global,1,o3,p50,6.495383073
metr_global,1,o4-mini,p50,6.245778538
metr_global,1,Claude 3 Opus,p80,0.3450637099
metr_global,1,Claude 3.5 Sonnet (New),p80,2.199831146
metr_global,1,Claude 3.5 Sonnet (Old),p80,1.713614894
metr_global,1,Claude 3.7 Sonnet,p80,4.039568591
metr_global,1,Claude 4 Opus,p80,4.420714242
metr_global,1,Claude 4 Sonnet,p80,4.120175326
metr_global,1,Claude 4.1 Opus,p80,4.440253338
metr_global,1,Claude Opus 4.5,p80,4.925647016
metr_global,1,Claude Sonnet 4.5,p80,4.364455782
metr_global,1,DeepSeek-R1,p80,2.131860994
metr_global,1,DeepSeek-R1-0528,p80,1.886314227
metr_global,1,DeepSeek-V3,p80,2.058487818
