noise_model,lambda,agent,quantile,mean_log2_horizon
metr_global,0.0,GPT-5,p50,7.031401021598931
metr_global,0.0,GPT-5.1-Codex-Max,p50,7.342107557143826
metr_global,0.0,Gemini 2.5 Pro Preview,p50,5.328487585075327
metr_global,0.0,Grok 4,p50,6.712148790141397
metr_global,0.0,Kimi K2 Thinking,p50,5.848540916479129
metr_global,0.0,Qwen2-72B,p50,1.3429156130133675
metr_global,0.0,Qwen2.5-72B,p50,2.5394809123538944
metr_global,0.0,davinci-002 (GPT-3),p50,-2.7952918354629412
metr_global,0.0,gpt-3.5-turbo-instruct,p50,-0.7387767013691282
metr_global,0.0,gpt-oss-120b,p50,5.495381250964804
metr_global,0.0,human,p50,6.850556676381371
metr_global,0.0,o1,p50,5.376835794563938
metr_global,0.0,o1-preview,p50,4.539452158849721
metr_global,0.0,o3,p50,6.514813432516033
metr_global,0.0,o4-mini,p50,6.262063040445657
metr_global,0.0,Claude 3 Opus,p80,0.6582947167323279
metr_global,0.0,Claude 3.5 Sonnet (New),p80,2.562579793631072
metr_global,0.0,Claude 3.5 Sonnet (Old),p80,2.0676629997632157
metr_global,0.0,Claude 3.7 Sonnet,p80,4.34899677598992
metr_global,0.0,Claude 4 Opus,p80,4.748821330462996
metr_global,0.0,Claude 4 Sonnet,p80,4.456061865452624
metr_global,0.0,Claude 4.1 Opus,p80,4.770293280747175
metr_global,0.0,Claude Opus 4.5,p80,5.171498543141547
metr_global,0.0,Claude Sonnet 4.5,p80,4.705719132820173
metr_global,0.0,DeepSeek-R1,p80,2.492996844751875
metr_global,0.0,DeepSeek-R1-0528,p80,2.2238985997339435
metr_global,0.0,DeepSeek-V3,p80,2.439514831186542
metr_global,0.0,DeepSeek-V3-0324,p80,2.8977688626260276
metr_global,0.0,GPT-2,p80,-6.287720044624711
metr_global,0.0,GPT-4 0125,p80,0.9365799984284047
metr_global,0.0,GPT-4 0314,p80,0.451568604461983
metr_global,0.0,GPT-4 1106,p80,1.0073319230069182
metr_global,0.0,GPT-4 Turbo,p80,1.3176875127550784
metr_global,0.0,GPT-4o,p80,1.24754103940549
metr_global,0.0,GPT-5,p80,5.043709620882508
metr_global,0.0,GPT-5.1-Codex-Max,p80,5.323335309992109
metr_global,0.0,Gemini 2.5 Pro Preview,p80,3.6514165032861303
metr_global,0.0,Grok 4,p80,4.216556509817371
metr_global,0.0,Kimi K2 Thinking,p80,3.9073659319052165
metr_global,0.0,Qwen2-72B,p80,-0.7486588318534786
metr_global,0.0,Qwen2.5-72B,p80,0.40641188602982514
metr_global,0.0,davinci-002 (GPT-3),p80,-4.1523183970144855
metr_global,0.0,gpt-3.5-turbo-instruct,p80,-1.9692835753973137
metr_global,0.0,gpt-oss-120b,p80,3.062159679235539
metr_global,0.0,human,p80,3.2868906296875706
metr_global,0.0,o1,p80,2.9346480496645917
metr_global,0.0,o1-preview,p80,2.682237337575205
metr_global,0.0,o3,p80,4.770864446988973
metr_global,0.0,o4-mini,p80,4.332548714949921
metr_global,0.5,Claude 3 Opus,p50,2.758961307513546
metr_global,0.5,Claude 3.5 Sonnet (New),p50,4.887452534480413
metr_global,0.5,Claude 3.5 Sonnet (Old),p50,4.24602515982965
metr_global,0.5,Claude 3.7 Sonnet,p50,5.777754568741792
metr_global,0.5,Claude 4 Opus,p50,6.378083514295468
metr_global,0.5,Claude 4 Sonnet,p50,6.193790259931683
metr_global,0.5,Claude 4.1 Opus,p50,6.787582290842092
metr_global,0.5,Claude Opus 4.5,p50,8.069669874389682
metr_global,0.5,Claude Sonnet 4.5,p50,6.892210299035015
metr_global,0.5,DeepSeek-R1,p50,4.757198045822606
metr_global,0.5,DeepSeek-R1-0528,p50,5.001958218508114
metr_global,0.5,DeepSeek-V3,p50,4.245015808352391
metr_global,0.5,DeepSeek-V3-0324,p50,4.566108905990759
metr_global,0.5,GPT-2,p50,-4.285044911484461
metr_global,0.5,GPT-4 0125,p50,2.568486071488061
metr_global,0.5,GPT-4 0314,p50,2.5102020512051
metr_global,0.5,GPT-4 1106,p50,3.1560570971621256
metr_global,0.5,GPT-4 Turbo,p50,2.8580631967439594
metr_global,0.5,GPT-4o,p50,3.2676016818266387
metr_global,0.5,GPT-5,p50,7.060692697109658
metr_global,0.5,GPT-5.1-Codex-Max,p50,7.38731338621021
